Day,detector_id,lane,speed,occupancy,volume,District,Road_EN
1,AID01111,Middle Lane ,-0.318944108,0.365357935,0.776418238,Sha Tin,Lion Rock Tunnel Road near Worldwide Gardens - Northbound 
1,AID01111,Slow Lane,-0.369481848,-0.399421002,-0.784630065,Sha Tin,Lion Rock Tunnel Road near Kak Tin Village - Northbound (1) 
1,AID01112,Fast Lane,-0.67270829,0.474612069,0.776418238,Sha Tin,Lion Rock Tunnel Road near Kak Tin Village - Northbound (2) 
1,AID01112,Middle Lane ,-1.127547954,0.037595533,-0.004105914,Sha Tin,Lion Rock Tunnel Road near Fung Shing Court - Northbound 
1,AID01112,Middle Lane ,-0.62217055,0.037595533,0.256068804,Sha Tin,Sha Tin Road near Pok Hong Estate - Northbound 
1,AID01112,Slow Lane,-0.217868627,-0.399421002,-1.044804782,Sha Tin,Sha Tin Road near Christ College - Northbound 
1,AID01113,Fast Lane,0.540197479,-0.508675136,-0.004105914,Sha Tin,Sha Tin Road near Sha Tin Wai New Village - Northbound 
1,AID01113,Middle Lane,0.034820075,-0.180912734,0.256068804,Sha Tin,Sha Tin Road near Prince of Wales Hospital - Northbound 
1,AID01114,Fast Lane,0.540197479,-0.727183403,-0.524455348,Sha Tin,Sha Tin Road near Shing Mun River - Northbound(1) 
1,AID01114,Middle Lane,0.287508777,-0.61792927,-0.524455348,Sha Tin,Sha Tin Road near Shing Mun River - Northbound 
1,AID01114,Slow Lane,-0.57163281,-0.399421002,-0.264280631,Sha Tin,Sha Tin Road near Hong Kong Institute of Vocational Education (Sha Tin) - Northbound 
1,AID01115,Fast Lane,-0.57163281,-0.0716586,0.776418238,Sha Tin,Sha Tin Road near Fo Tan Railway House - Northbound 
1,AID01115,Middle Lane,-0.521095069,-0.727183403,-1.3049795,Wong Tai Sin,Lion Rock Tunnel Road near Exit to Kowloon - Southbound 
1,AID01115,Slow Lane,-1.127547954,-0.399421002,-0.524455348,Kowloon City,Waterloo Road near Warwick Road - Southbound 
1,AID01116,Fast Lane,-0.015717665,-0.180912734,0.256068804,Kowloon City,Waterloo Road near Junction Road - Southbound 
1,AID01116,Slow Lane,0.034820075,-0.61792927,-0.524455348,Kowloon City,Waterloo Road near Kowloon East Barracks - Southbound 
1,AID01117,Fast Lane,-2.593142425,4.407760886,-0.264280631,Kowloon City,Waterloo Road near American Internationnal School - Southbound 
1,AID01117,Middle Lane,-2.138302762,-0.508675136,-1.044804782,Kowloon City,Waterloo Road near Kowloon Tong Club - Southbound 
1,AID01117,Middle Lane,-2.744755646,4.298506752,0.256068804,Kowloon City,Waterloo Road near St. George Apartments - Southbound 
1,AID01118,Fast Lane,-2.087765021,0.693120336,0.776418238,Kowloon City,Princess Margaret Road near St. John Ambulance Brigade Kowloon Depot - Southbound 
1,AID01118,Middle Lane,-2.138302762,1.348645139,1.296767672,Kowloon City,Princess Margaret Road near Yu Chun Keung Memorial College - Southbound 
1,AID01118,Slow Lane,-1.127547954,-0.508675136,-0.784630065,Kowloon City,Princess Margaret Road near Oi Man Estate - Southbound 
1,AID01120,Fast Lane,-0.015717665,-0.290166868,-0.004105914,Kowloon City,Princess Margaret Road near Oi Man Estate - Southbound(2) 
1,AID01120,Middle Lane,0.236971037,-0.61792927,-0.784630065,Kowloon City,Princess Margaret Road near King's Park -Southbound 
1,AID01120,Slow Lane,-1.430774396,-0.0716586,-0.524455348,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Southbound 
1,AID01121,Fast Lane,-0.318944108,0.474612069,2.077291824,Wan Chai,Canal Road Flyover near Elizabeth House - Southbound 
1,AID01121,Slow Lane,0.186433296,-0.399421002,-0.784630065,Wan Chai,Canal Road Flyover near Wing Tak Building - Southbound 
1,AID01122,Fast Lane,0.6918107,-0.399421002,-0.004105914,Wan Chai,Wong Nai Chung Gap Flyover near Racecourse - Southbound 
1,AID01123,Fast Lane,-0.62217055,-0.0716586,1.55694239,Southern,Aberdeen Tunnel near Toll Plaza - Westbound 
1,AID01123,Slow Lane,-1.077010213,-0.399421002,-0.524455348,Southern,Wong Chuk Hang Road near Wong Chuk Hang Sports Centre - Westbound 
1,AID01124,Fast Lane,0.489659739,-0.290166868,0.256068804,Southern,Wong Chuk Hang Road near Wong Chuk Hang Recreation Ground - Westbound 
1,AID01124,Slow Lane,0.236971037,-0.0716586,0.516243521,Southern,Wong Chuk Hang Road Flyover near Cheung Tak Industrial Building - Westbound 
1,AID01125,Fast Lane,0.489659739,0.146849667,2.597641258,Southern,Wong Chuk Hang Road near Aberdeen Police Station - Westbound 
1,AID01125,Slow Lane,0.085357816,-0.399421002,0.256068804,Southern,Aberdeen Praya Road near Ocean Court - Westbound 
1,AID01126,Fast Lane,0.6918107,0.256103801,1.817117107,Southern,Aberdeen Praya Road near Aberdeen Bus Terminus - Westbound 
1,AID01126,Slow Lane,0.186433296,0.037595533,0.256068804,Kwun Tong,Kwun Tong Bypass near Sceneway Garden - Westbound 
1,AID01127,Fast Lane,0.843423921,-0.180912734,0.776418238,Kwun Tong,Kwun Tong Bypass near Magistrates Courts - Westbound 
1,AID01127,Slow Lane,1.500414546,0.256103801,0.256068804,Kwun Tong,Kwun Tong Bypass near Laguna City - Westbound 
1,AID01128,Fast Lane,1.146650364,-0.399421002,0.516243521,Kwun Tong,Kwun Tong Bypass near Manulife Financial Centre - Westbound 
1,AID01128,Slow Lane,0.489659739,0.583866202,2.077291824,Kwun Tong,Kwun Tong Bypass near Kwun Tong Ferry - Westbound 
1,AID01129,Fast Lane,-0.116793146,0.146849667,1.817117107,Kwun Tong,Kwun Tong Bypass near Kowloon Flour Mills - Northbound 
1,AID01129,Slow Lane,-1.228623435,1.67640754,1.817117107,Kwun Tong,Kwun Tong Bypass near NEO - Northbound 
1,AID01131,Fast Lane,1.601490027,-0.508675136,-0.004105914,Kwun Tong,Kwun Tong Bypass near Kowloon Godown - Northbound 
1,AID01131,Slow Lane,0.995037143,-0.399421002,-0.004105914,Kwun Tong,Kwun Tong Bypass near Kai Tak Fire Station - Northbound 
1,AID01132,Fast Lane,1.449876806,-0.61792927,-0.784630065,Kwun Tong,Kwun Tong Bypass near MegaBox - Northbound 
1,AID01132,Middle Lane,1.146650364,-0.61792927,-0.264280631,Kwun Tong,Kwun Tong Bypass near Trade & Exhibition Centre - Northbound 
1,AID01132,Slow Lane,1.096112623,-0.61792927,-0.524455348,Kwun Tong,Kwun Tong Bypass near Kowloon Bay Park - Northbound 
1,AID01133,Fast Lane,1.90471647,-0.727183403,-0.784630065,Kwun Tong,Kwun Tong Bypass near Choi Hung Estate - Northbound 
1,AID01133,Slow Lane,1.652027768,-0.727183403,-1.044804782,Wong Tai Sin,Tate's Cairn Highway near Chi Lin Nunnery - Northbound 
1,AID01134,Fast Lane,0.64127296,0.037595533,1.55694239,Sha Tin,Tate's Cairn Tunnel near Toll Plaza - Northbound 
1,AID01134,Slow Lane,0.742348441,-0.508675136,-0.264280631,Sha Tin,Tate's Cairn Highway near HK School of Motoring - Northbound 
1,AID01135,Fast Lane,1.197188104,-0.61792927,-0.004105914,Sha Tin,Tate's Cairn Highway near HKBU (Shek Mun) - Northbound 
1,AID01135,Slow Lane,1.298263585,0.037595533,2.337466541,Sha Tin,Tate's Cairn Highway near On Sum Street - Northbound 
1,AID01136,Fast Lane,0.64127296,-0.0716586,1.296767672,Sha Tin,Tate's Cairn Highway near Rowing Centre - Northbound 
1,AID01136,Slow Lane,0.540197479,-0.290166868,0.256068804,Sha Tin,Tate's Cairn Highway near Shatin Hospital - Northbound 
1,AID01201,Fast Lane,-0.318944108,-0.0716586,1.296767672,Sha Tin,Tate's Cairn Highway near A Kung Kok Sports Grounds - Northbound 
1,AID01201,Slow Lane,-1.026472473,0.911628604,1.817117107,Sha Tin,Tate's Cairn Highway near Tai Shui Hang Bicycle Park - Northbound 
1,AID01202,Fast Lane,-0.318944108,-0.290166868,0.516243521,Sha Tin,Tate's Cairn Highway near Marine Police Station - Northbound 
1,AID01202,Slow Lane,-0.167330886,-0.727183403,-0.784630065,Sha Tin,Tate's Cairn Highway near Hyatt Regency ShaTin - Northbound 
1,AID01203,Fast Lane,0.085357816,-0.508675136,-0.264280631,Wong Tai Sin,Tate's Cairn Highway near Chi Lin Nunnery - Southbound 
1,AID01203,Slow Lane,0.186433296,-0.61792927,-0.524455348,Wong Tai Sin,Tate's Cairn Highway near Choi Hung Estate - Southbound 
1,AID01204,Fast Lane,-2.138302762,2.113424076,-0.004105914,Kwun Tong,Kwun Tong Bypass near Kai Ching Estate - Southbound 
1,AID01204,Middle Lane,-2.087765021,-0.290166868,-0.784630065,Kwun Tong,Kwun Tong Bypass near Skyline Tower Car Park - Southbound 
1,AID01204,Slow Lane,-2.441529204,1.020882738,-0.264280631,Kwun Tong,Kwun Tong Bypass near Trade & Exhibition Centre - Southbound 
1,AID01206,Fast Lane,-1.835076319,1.894915808,1.817117107,Kwun Tong,Kwun Tong Bypass near MegaBox - Southbound 
1,AID01206,Slow Lane,-1.380236656,0.474612069,0.256068804,Kwun Tong,Kwun Tong Bypass near Vehicle Examination Centre - Southbound 
1,AID01207,Fast Lane,-0.723246031,0.693120336,2.597641258,Kwun Tong,Kwun Tong Bypass near Kowloon Godown - Southbound 
1,AID01207,Middle Lane,-1.228623435,0.583866202,0.256068804,Kwun Tong,Kwun Tong Bypass near MG Tower - Southbound 
1,AID01208,Fast Lane,-0.167330886,0.474612069,2.597641258,Kwun Tong,Kwun Tong Bypass near Kowloon Flour Mills - Southbound 
1,AID01208,Slow Lane,-0.369481848,-0.399421002,-0.004105914,Kwun Tong,Kwun Tong Bypass near Kwun Tong Ferry - Eastbound 
1,AID01209,Fast Lane,0.590735219,-0.399421002,0.256068804,Kwun Tong,Kwun Tong Bypass near Kwun Tong Sewage Treatment Works - Eastbound 
1,AID01209,Middle Lane,0.388584258,-0.61792927,-0.524455348,Kwun Tong,Kwun Tong Bypass near Manulife Financial Centre - Eastbound 
1,AID01209,Slow Lane,-1.279161175,-0.399421002,-0.524455348,Kwun Tong,Kwun Tong Bypass near Sunbeam Centre - Eastbound 
1,AID01210,Fast Lane,-0.268406367,0.037595533,1.296767672,Kwun Tong,Kwun Tong Bypass near Sceneway Garden - Eastbound 
2,AID01101,Middle Lane,0.893961662,-0.508675136,-0.784630065,Central & Western,Connaught Road West Flyover near Tram Depot - Eastbound 
2,AID01102,Fast Lane,0.893961662,-0.399421002,-0.004105914,Central & Western,Connaught Road West near Western Wholesale Food Market - Northbound 
2,AID01102,Slow Lane,0.135895556,-0.290166868,-0.264280631,Central & Western,Connaught Road West near Sun Yat Sen Memorial Park - Northbound (1) 
2,AID01103,Fast Lane,-0.975934733,1.020882738,1.55694239,Central & Western,Connaught Road West near Sun Yat Sen Memorial Park - Northbound (2) 
2,AID01103,Middle Lane,-0.925396992,-0.180912734,-0.264280631,Yau Tsim Mong,West Kowloon Highway near Centenary Substation - Northbound 
2,AID01103,Slow Lane,-0.167330886,-0.61792927,-0.784630065,Yau Tsim Mong,West Kowloon Highway near Olympic Plaza - Northbound 
2,AID01104,Fast Lane,0.64127296,-0.399421002,-0.264280631,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Northbound (1) 
2,AID01104,Slow Lane,0.236971037,-0.290166868,-0.784630065,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Northbound (2) 
2,AID01105,Fast Lane,0.742348441,0.037595533,0.516243521,Sham Shui Po,West Kowloon Highway near Tai Kok Tsui Substation - Northbound 
2,AID01105,Slow Lane,1.197188104,-0.290166868,-0.524455348,Sham Shui Po,West Kowloon Highway near Nam Cheong MTR Station - Northbound 
2,AID01106,Fast Lane,-0.975934733,0.365357935,0.776418238,Sham Shui Po,West Kowloon Highway near Hing Wah Street West - Northbound 
2,AID01106,Slow Lane,-0.67270829,-0.727183403,-1.3049795,Sham Shui Po,West Kowloon Highway near SKH St. Andrew's Primary School - Northbound 
2,AID01107,Fast Lane,-0.167330886,0.146849667,0.776418238,Sham Shui Po,West Kln Hwy near Tsing Sha Hwy - Northbound 
2,AID01107,Slow Lane,-1.481312137,0.256103801,-1.044804782,Tsuen Wan,Tsing Long Highway near Royal View Hotel - Northbound 
2,AID01109,Fast Lane,-0.167330886,0.037595533,0.256068804,Tsuen Wan,Tsing Long Highway near Tai Lam Tunnel Entrance from Kowloon - Northbound 
2,AID01109,Slow Lane,-0.925396992,0.256103801,0.516243521,Yuen Long,Tsing Long Highway near MTR Pat Heung Maintenance Centre - Northbound (1) 
2,AID01110,Fast Lane,-0.369481848,-0.399421002,-0.524455348,Yuen Long,Tsing Long Highway near MTR Pat Heung Maintenance Centre - Northbound (2) 
2,AID01110,Middle Lane,-1.077010213,0.583866202,1.296767672,Yuen Long,Tsing Long Highway near MTR Kam Sheung Road Station - Northbound (1) 
2,AID01110,Slow Lane,-1.127547954,1.348645139,2.337466541,Yuen Long,Tsing Long Highway near MTR Kam Sheung Road Station - Northbound (2) 
2,AID01111,Fast Lane,0.034820075,0.693120336,2.597641258,Yuen Long,Tsing Long Highway near Kam Tin Road - Northbound (1) 
2,AID01111,Middle Lane,0.489659739,-0.290166868,-0.004105914,Yuen Long,Tsing Long Highway near Kam Tin Road - Northbound (2) 
2,AID01111,Middle Lane,0.085357816,-0.180912734,-0.784630065,Yuen Long,Tsing Long Highway near Kam Tin Road - Northbound (3) 
2,AID01111,Slow Lane,-0.369481848,-0.727183403,-0.264280631,Yuen Long,Tsing Long Highway near Castle Peak Road (Yuen Long) - Northbound (1) 
2,AID01112,Fast Lane,-0.116793146,0.146849667,1.296767672,Yuen Long,Tsing Long Highway near Castle Peak Road (Yuen Long) - Northbound (2) 
2,AID01112,Middle Lane,0.742348441,-0.727183403,-1.044804782,Tsuen Wan,Tsing Long Highway near Tai Lam Tunnel exit to Kowloon - Southbound 
2,AID01112,Middle Lane,-0.167330886,-0.180912734,0.516243521,Kwai Tsing,Tsing Kwai Highway near China Resources Int'l Logistics Centre - Southbound 
2,AID01112,Slow Lane,-0.67270829,-0.727183403,-1.044804782,Sham Shui Po,West Kln Hwy near Hoi Lai Estate - Southbound 
2,AID01113,Fast Lane,0.439121998,-0.61792927,-0.524455348,Sham Shui Po,West Kowloon Highway near Hing Wah Street West - Southbound 
2,AID01113,Middle Lane,0.338046518,-0.399421002,-0.264280631,Sham Shui Po,West Kowloon Highway near Nam Cheong MTR Statoin - Southbound 
2,AID01114,Fast Lane,0.439121998,-0.508675136,-0.264280631,Sham Shui Po,West Kowloon Highway near Tai Kok Tsui Substation - Southbound 
2,AID01114,Middle Lane,0.085357816,-0.508675136,-0.004105914,Yau Tsim Mong,West Kowloon Highway near Olympian City Promenade Park - Southbound 
2,AID01114,Slow Lane,-0.015717665,-0.61792927,-0.264280631,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Southbound 
2,AID01115,Fast Lane,-0.268406367,0.037595533,1.036592955,Yau Tsim Mong,West Kowloon Highway near Hoi Fai Road Promenade - Southbound 
2,AID01115,Middle Lane,0.085357816,-0.290166868,-0.784630065,Yau Tsim Mong,West Kowloon Highway near Olympic Plaza - Southbound 
2,AID01115,Slow Lane,0.287508777,-0.399421002,-1.3049795,Yau Tsim Mong,West Kowloon Highway near Centenary Substation - Southbound 
2,AID01116,Fast Lane,0.388584258,-0.290166868,0.516243521,Central & Western,Shing Sai Road near Kennedy Town Swimming Pool - Eastbound 
2,AID01116,Slow Lane,-0.521095069,-0.508675136,-1.3049795,Central & Western,Connaught Road West Flyover near Western Harbour Centre - Eastbound 
2,AID01117,Fast Lane,-0.066255406,-0.290166868,-0.004105914,Central & Western,Connaught Road West Flyover near The Westpoint - Eastbound 
2,AID01117,Middle Lane,-0.420019588,-0.399421002,-0.264280631,Central & Western,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Eastbound 
2,AID01117,Middle Lane,-0.268406367,-0.399421002,-0.264280631,Central & Western,Connaught Road West Flyover near Central Police Station - Eastbound 
2,AID01117,Slow Lane,-0.369481848,-0.399421002,-0.524455348,Eastern,Island Eastern Corridor near Provident Centre - Eastbound 
2,AID01118,Middle Lane,-3.047982089,-0.399421002,-1.3049795,Eastern,Island Eastern Corridor near North Point Ferry Pier Eastbound 
2,AID01118,Slow Lane,-1.582387617,-0.0716586,-0.264280631,Eastern,Island Eastern Corridor near ICAC Headquarters - Eastbound 
2,AID01120,Fast Lane,0.287508777,-0.290166868,0.256068804,Eastern,Island Eastern Corridor near North Point Government Offices - Eastbound 
2,AID01120,Middle Lane,0.6918107,-0.61792927,-0.784630065,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 2 - Eastbound 
2,AID01120,Slow Lane,-0.773783771,-0.0716586,0.516243521,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 1 - Eastbound 
2,AID01121,Fast Lane,0.287508777,-0.290166868,0.256068804,Eastern,Island Eastern Corridor near Taikoo Shing - Eastbound 
2,AID01121,Slow Lane,-0.470557329,-0.61792927,-1.044804782,Eastern,Island Eastern Corridor near Tai On Building - Eastbound 
2,AID01122,Fast Lane,0.489659739,-0.180912734,0.776418238,Eastern,Island Eastern Corridor near St. Mark's School - Eastbound 
2,AID01122,Slow Lane,-0.116793146,0.256103801,-0.524455348,Eastern,Island Eastern Corridor near Aldrich Garden - Eastbound 
2,AID01123,Fast Lane,-1.279161175,1.67640754,2.597641258,Eastern,Island Eastern Corridor near Heng Fa Chuen - Eastbound (1) 
2,AID01123,Slow Lane,-1.077010213,0.583866202,0.256068804,Eastern,Island Eastern Corridor near Heng Fa Chuen - Eastbound (2) 
2,AID01124,Fast Lane,0.6918107,0.256103801,3.117990693,Eastern,Island Eastern Corridor near Heng Fa Chuen - Eastbound (3) 
2,AID01124,Slow Lane,0.135895556,0.146849667,1.036592955,Eastern,Island Eastern Corridor near HKIVE (Chai Wan) - Southbound 
2,AID01125,Fast Lane,0.944499402,-0.508675136,-0.264280631,Eastern,Island Eastern Corridor near Chai Wan Park - Southbound 
2,AID01125,Slow Lane,0.540197479,0.037595533,-0.004105914,Eastern,Island Eastern Corridor near ICAC Headquarters - Eastbound 
2,AID01126,Fast Lane,0.742348441,0.037595533,1.296767672,Eastern,Island Eastern Corridor near North Point Government Offices - Eastbound 
2,AID01126,Slow Lane,0.489659739,-0.0716586,-0.004105914,Eastern,Island Eastern Corridor near Chai Wan MTR Station - Northbound 
2,AID01127,Fast Lane,0.236971037,0.80237447,2.597641258,Eastern,Island Eastern Corridor near Eastern Hospital - Northbound 
2,AID01127,Slow Lane,0.388584258,0.583866202,1.296767672,Eastern,Island Eastern Corridor near HKIVE (Chai Wan) - Northbound 
2,AID01128,Fast Lane,1.550952287,-0.508675136,0.256068804,Eastern,Island Eastern Corridor near Heng Fa Chuen - Northbound (1) 
2,AID01128,Slow Lane,0.792886181,0.037595533,1.55694239,Eastern,Island Eastern Corridor near Heng Fa Chuen - Northbound (2) 
2,AID01129,Fast Lane,0.388584258,-0.290166868,0.516243521,Eastern,Island Eastern Corridor near Museum of Coastal Defence - Northbound 
2,AID01129,Slow Lane,0.236971037,0.256103801,1.55694239,Eastern,Island Eastern Corridor near Aldrich Garden - Westbound 
2,AID01131,Fast Lane,1.753103248,-0.508675136,0.516243521,Eastern,Island Eastern Corridor near Oi Tung Estate - Westbound 
2,AID01131,Slow Lane,1.197188104,-0.508675136,-0.004105914,Eastern,Island Eastern Corridor near Tai On Building - Westbound 
2,AID01132,Fast Lane,1.652027768,-0.290166868,0.256068804,Eastern,Island Eastern Corridor near Taikoo Shing - Westbound (1) 
2,AID01132,Middle Lane,0.944499402,-0.0716586,0.516243521,Eastern,Island Eastern Corridor near Taikoo Shing - Westbound (2) 
2,AID01133,Fast Lane,2.106867431,-0.61792927,-0.004105914,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 1 - Westbound (1) 
2,AID01133,Slow Lane,1.348801325,-0.290166868,-0.264280631,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 1 - Westbound (2) 
2,AID01134,Fast Lane,1.096112623,-0.290166868,0.776418238,Eastern,Island Eastern Corridor near Quarry Bay Park Phase 2 - Westbound 
2,AID01134,Slow Lane,0.338046518,-0.399421002,-0.524455348,Eastern,Island Eastern Corridor near North Point Government Offices - Westbound 
2,AID01135,Fast Lane,1.550952287,-0.61792927,-0.264280631,Eastern,Island Eastern Corridor near Vehicle Ferry Pier - Westbound 
2,AID01135,Slow Lane,1.601490027,-0.508675136,0.256068804,Eastern,Island Eastern Corridor near Hyatt Centric - Westbound 
2,AID01136,Fast Lane,0.792886181,-0.727183403,-0.784630065,Central & Western,Connaught Road West Flyover near Shun Tak Centre - Westbound 
2,AID01136,Slow Lane,1.146650364,-0.399421002,-0.264280631,Central & Western,Connaught Road West Flyover near Sheung Wan Fire Station - Westbound 
2,AID01201,Fast Lane,-0.268406367,-0.399421002,0.256068804,Central & Western,Connaught Road West Flyover near Sun Yat Sen Memorial Park - Westbound 
2,AID01201,Slow Lane,-0.824321511,1.348645139,2.077291824,Central & Western,Connaught Road West Flyover near Courtyard - Westbound 
2,AID01202,Fast Lane,-0.470557329,-0.180912734,0.256068804,Eastern,Island Eastern Corridor near EHC - Westbound 
2,AID01202,Slow Lane,-1.026472473,-0.61792927,-1.3049795,Kwun Tong,Kai Fuk Road near Kwun Tong Government Primary School - Northbound 
2,AID01203,Fast Lane,-2.845831127,4.844777421,-0.004105914,Kwun Tong,Kai Fuk Road near Ngau Tau Kok Jockey Club Clinic - Northbound 
2,AID01203,Slow Lane,-2.694217906,3.861490217,-0.004105914,Kwun Tong,Kai Fuk Road near Kowloon Bay Vehicle Examination Centre - Westbound 
2,AID01204,Fast Lane,-2.845831127,1.567153407,-0.784630065,Kwun Tong,Kai Fuk Road near Kowloon Bay Vehicle Detention and Examination Centre - Westbound 
2,AID01204,Middle Lane,-2.694217906,0.256103801,-1.3049795,Kowloon City,Chatham Road North near MTR Ho Man Tin Station - Westbound 
2,AID01206,Fast Lane,-2.138302762,1.894915808,2.077291824,Yau Tsim Mong,Gascoigne Road near Gun Club Hill Barracks - Westbound 
2,AID01206,Slow Lane,-2.744755646,2.22267821,-0.784630065,Yau Tsim Mong,Gascoigne Road near Diocesan Girls' School - Westbound 
2,AID01207,Fast Lane,-1.077010213,1.020882738,3.117990693,Yau Tsim Mong,Gascoigne Road Flyover near Prosperous Garden - Northbound 
2,AID01207,Middle Lane,-3.098519829,1.67640754,-1.044804782,Yau Tsim Mong,Ferry Street near Cherry Street Park - Northbound 
2,AID01208,Fast Lane,0.085357816,0.146849667,1.55694239,Yau Tsim Mong,West Kowloon Corridor West near Cherry Street Park - Northbound (1) 
2,AID01208,Slow Lane,0.287508777,-0.61792927,-0.524455348,Yau Tsim Mong,West Kowloon Corridor West near Cherry Street Park - Northbound (2) 
2,AID01209,Fast Lane,0.236971037,-0.399421002,-0.004105914,Yau Tsim Mong,West Kowloon Corridor West near Fuk Tsun Street - Northbound 
2,AID01209,Middle Lane,0.034820075,-0.399421002,0.256068804,Sham Shui Po,West Kowloon Corridor near Tung Chau Street Park - Northbound 
2,AID01209,Slow Lane,-0.521095069,-0.180912734,0.776418238,Sham Shui Po,West Kowloon Corridor near Yen Chow Street West - Northbound 
2,AID01210,Fast Lane,0.186433296,-0.61792927,-0.524455348,Sham Shui Po,West Kowloon Corridor near West Kowloon Law Courts Building - Northbound 
3,AID01101,Fast Lane,0.388584258,-0.727183403,-0.784630065,Sham Shui Po,West Kowloon Corridor near Lai Chi Kok MTR Station - Northbound 
3,AID01101,Middle Lane,0.590735219,-0.399421002,-0.524455348,Sham Shui Po,Kwai Chung Road near Lai Chi Kok Fire Station- Northbound 
3,AID01101,Slow Lane,-1.380236656,-0.61792927,-1.3049795,Sham Shui Po,Kwai Chung Road near Delia Memorial School (Glee Path) - Northbound 
3,AID01102,Fast Lane,0.489659739,-0.61792927,-0.264280631,Sham Shui Po,Kwai Chung Road near Kwai Chung Interchange - Northbound 
3,AID01102,Middle Lane,-0.015717665,-0.508675136,-0.264280631,Kwai Tsing,Kwai Chung Road near Hong Chi Winifred Mary Cheung Morninghope School - Northbound 
3,AID01102,Slow Lane,0.236971037,-0.61792927,-0.784630065,Kwai Tsing,Kwai Chung Road near Lai King MTR Station - Nouthbound 
3,AID01103,Fast Lane,0.489659739,-0.290166868,0.516243521,Kwai Tsing,Kwai Chung Road near Lai King Estate - Northbound 
